event_id,snapshot_datetime,elapsed_hr_since_rise_start,stage_ft,h0_stage_ft,r1_ft_per_hr,r3_ft_per_hr,r6_ft_per_hr,momentum_r1_minus_r3,actual_crest_ft,most_likely_crest_ft,decision_crest_ft,analog_min_ft,analog_max_ft,median_top_analog_ft,p75_top_analog_ft,p90_top_analog_ft,decision_method,confidence,confidence_reason,top_analog_events,top_analog_predicted_crests,error_most_likely_ft,error_decision_ft,abs_error_most_likely_ft,abs_error_decision_ft,underforecast_most_likely_ft,underforecast_decision_ft,overforecast_decision_ft,num_analogs,elapsed_hour_bin,crest_threshold_group
20120831_2454,2012-08-29 16:00:00+00:00,0.0,7.16,7.16,0.4775,0.2708333333333333,0.1658333333333333,0.2066666666666667,24.535,17.41138698670527,17.41138698670527,15.275,19.8925,16.5825,18.2075,19.493499999999997,WEIGHTED_MEAN,LOW,large analog crest spread (4.62 ft),"20210830_1979,20210619_1632,20181229_1972,20220406_1558,20221127_1539,20250508_1701,20200608_1526","19.89,16.58,19.23,15.44,16.14,17.19,15.28",-7.1236130132947295,-7.1236130132947295,7.1236130132947295,7.1236130132947295,7.1236130132947295,7.1236130132947295,0.0,7,0,>=22
20120831_2454,2012-08-29 17:00:00+00:00,1.0,8.030000000000001,7.16,0.870000000000001,0.5158333333333337,0.3037500000000001,0.3541666666666673,24.535,18.92097376094515,18.92097376094515,15.5775,22.277500000000003,17.145000000000003,19.49125,20.840500000000002,WEIGHTED_MEAN,LOW,large analog crest spread (6.70 ft),"20210830_1979,20160312_2262,20210410_1948,20221215_1627,20250408_1568,20220406_1558,20210916_1768","19.88,22.28,19.10,16.31,16.12,15.58,17.15",-5.614026239054851,-5.614026239054851,5.614026239054851,5.614026239054851,5.614026239054851,5.614026239054851,0.0,7,1,>=22
20120831_2454,2012-08-29 18:00:00+00:00,2.0,9.1325,7.16,1.1024999999999991,0.8166666666666668,0.4783333333333333,0.2858333333333324,24.535,17.81067403841402,17.81067403841402,15.352500000000001,22.3325,16.23,18.025,20.4665,WEIGHTED_MEAN,LOW,large analog crest spread (6.98 ft),"20160312_2262,20221215_1627,20200608_1526,20210410_1948,20221127_1539,20250508_1701,20220406_1558","22.33,16.23,15.35,19.22,15.82,16.83,15.77",-6.724325961585979,-6.724325961585979,6.724325961585979,6.724325961585979,6.724325961585979,6.724325961585979,0.0,7,2,>=22
20120831_2454,2012-08-29 19:00:00+00:00,3.0,10.29,7.16,1.1574999999999989,1.043333333333333,0.6570833333333331,0.1141666666666658,24.535,17.784134486732803,17.784134486732803,15.129999999999999,22.2325,16.487499999999997,17.6025,19.819000000000003,WEIGHTED_MEAN,LOW,large analog crest spread (7.10 ft),"20160312_2262,20210324_1785,20200608_1526,20210512_1527,20210324_1785,20220406_1558,20250408_1568","22.23,17.00,15.13,15.13,18.21,15.94,16.49",-6.750865513267197,-6.750865513267197,6.750865513267197,6.750865513267197,6.750865513267197,6.750865513267197,0.0,7,3,>=22
20120831_2454,2012-08-29 20:00:00+00:00,4.0,11.5675,7.16,1.2775,1.179166666666666,0.8474999999999998,0.0983333333333338,24.535,18.42334920466033,18.42334920466033,15.17,22.277500000000003,16.955000000000002,17.696250000000003,19.874500000000005,WEIGHTED_MEAN,LOW,large analog crest spread (7.11 ft),"20160312_2262,20200608_1526,20210512_1527,20210324_1785,20210324_1785,20221127_1539,20221215_1627","22.28,15.17,15.28,17.12,18.27,16.96,15.82",-6.111650795339671,-6.111650795339671,6.111650795339671,6.111650795339671,6.111650795339671,6.111650795339671,0.0,7,4,>=22
20120831_2454,2012-08-29 21:00:00+00:00,5.0,12.7575,7.16,1.1900000000000013,1.2083333333333333,1.0125,-0.0183333333333319,24.535,19.406396912746054,19.406396912746054,15.435,23.4675,18.310000000000002,21.846249999999998,22.824,WEIGHTED_MEAN,LOW,large analog crest spread (8.03 ft),"20160312_2262,20210324_1785,20200608_1526,20160312_2262,20221215_1627,20200608_1526,20160312_2262","22.39,18.31,16.36,23.47,15.92,15.44,21.30",-5.128603087253946,-5.128603087253946,5.128603087253946,5.128603087253946,5.128603087253946,5.128603087253946,0.0,7,5,>=22
20120831_2454,2012-08-29 22:00:00+00:00,6.0,13.5975,7.16,0.8399999999999999,1.1025000000000005,1.0729166666666667,-0.2625000000000004,24.535,16.221580784355538,16.221580784355538,15.672500000000003,16.9875,16.275,16.67,16.9095,WEIGHTED_MEAN,MEDIUM,moderate analog spread,"20221215_1627,20080503_1797,20250508_1701,20201029_1642,20200608_1526,20210512_1527,20221127_1539","16.02,15.94,16.86,15.67,16.27,16.48,16.99",-8.313419215644462,-8.313419215644462,8.313419215644462,8.313419215644462,8.313419215644462,8.313419215644462,0.0,7,6,>=22
20120831_2454,2012-08-29 23:00:00+00:00,7.0,14.3,7.16,0.7025000000000006,0.910833333333334,1.045,-0.2083333333333333,24.535,16.715574030278823,16.715574030278823,15.5675,18.1,16.3425,17.49875,17.776000000000003,WEIGHTED_MEAN,LOW,large analog spread,"20080503_1797,20250508_1701,20221215_1627,20210619_1632,20210324_1785,20200608_1526,20210324_1785","15.94,17.56,16.18,15.57,18.10,16.34,17.44",-7.819425969721177,-7.819425969721177,7.819425969721177,7.819425969721177,7.819425969721177,7.819425969721177,0.0,7,7,>=22
20120831_2454,2012-08-30 00:00:00+00:00,8.0,14.95,7.16,0.6499999999999986,0.730833333333333,0.9695833333333332,-0.0808333333333344,24.535,17.450630142406318,17.450630142406318,15.6925,20.43,17.475,17.87125,19.0245,WEIGHTED_MEAN,LOW,large analog crest spread (4.74 ft),"20210324_1785,20201029_1642,20250508_1701,20210324_1785,20250508_1701,20150517_1831,20221215_1627","17.48,15.69,17.66,18.09,17.16,20.43,16.82",-7.084369857593682,-7.084369857593682,7.084369857593682,7.084369857593682,7.084369857593682,7.084369857593682,0.0,7,8,>=22
20120831_2454,2012-08-30 01:00:00+00:00,9.0,15.7175,7.16,0.7675000000000001,0.7066666666666664,0.9045833333333334,0.0608333333333336,24.535,18.393276040559915,18.393276040559915,16.46,21.622500000000002,17.72,19.60125,21.225,WEIGHTED_MEAN,LOW,large analog crest spread (5.16 ft),"20210324_1785,20201029_1642,20140329_1765,20160312_2262,20210324_1785,20160312_2262,20080503_1797","18.24,16.46,17.26,21.62,17.72,20.96,16.87",-6.141723959440085,-6.141723959440085,6.141723959440085,6.141723959440085,6.141723959440085,6.141723959440085,0.0,7,9,>=22
