event_id,crest_date,crest_stage_ft,month,season
19160705_2996,1916-07-05,29.96,7,Summer
19611215_2496,1961-12-15,24.96,12,Winter
20120831_2454,2012-08-31,24.54,8,Summer
19930121_2343,1993-01-21,23.43,1,Winter
19830407_2325,1983-04-07,23.25,4,Spring
20190512_2297,2019-05-12,22.97,5,Spring
20160312_2262,2016-03-12,22.62,3,Spring
19790404_2258,1979-04-04,22.58,4,Spring
19810212_2229,1981-02-12,22.29,2,Winter
19720512_2205,1972-05-12,22.05,5,Spring
19800412_2194,1980-04-12,21.94,4,Spring
19731225_2132,1973-12-25,21.32,12,Winter
19750415_2130,1975-04-15,21.3,4,Spring
19730913_2113,1973-09-13,21.13,9,Fall
20050830_2095,2005-08-30,20.95,8,Summer
19660213_2057,1966-02-13,20.57,2,Winter
20030702_2038,2003-07-02,20.38,7,Summer
19980108_2033,1998-01-08,20.33,1,Winter
20040426_2029,2004-04-26,20.29,4,Spring
19770422_2021,1977-04-22,20.21,4,Spring
19820331_2019,1982-03-31,20.19,3,Spring
20020927_2015,2002-09-27,20.15,9,Fall
20210830_1979,2021-08-30,19.79,8,Summer
20010611_1975,2001-06-11,19.75,6,Summer
20181229_1972,2018-12-29,19.72,12,Winter
20210415_1956,2021-04-15,19.56,4,Spring
20210410_1948,2021-04-10,19.48,4,Spring
20090328_1915,2009-03-28,19.15,3,Spring
19840227_1903,1984-02-27,19.03,2,Winter
20240125_1893,2024-01-25,18.93,1,Winter
19670414_1878,1967-04-14,18.78,4,Spring
20160224_1871,2016-02-24,18.71,2,Winter
19990314_1867,1999-03-14,18.67,3,Spring
19910510_1866,1991-05-10,18.66,5,Spring
19851030_1851,1985-10-30,18.51,10,Fall
19900513_1844,1990-05-13,18.44,5,Spring
20150517_1831,2015-05-17,18.31,5,Spring
19780508_1825,1978-05-08,18.25,5,Spring
19880304_1821,1988-03-04,18.21,3,Spring
19970225_1812,1997-02-25,18.12,2,Winter
20021112_1809,2002-11-12,18.09,11,Fall
19850816_1802,1985-08-16,18.02,8,Summer
20080503_1797,2008-05-03,17.97,5,Spring
20210212_1794,2021-02-12,17.94,2,Winter
20030408_1793,2003-04-08,17.93,4,Spring
19950509_1785,1995-05-09,17.85,5,Spring
20210324_1785,2021-03-24,17.85,3,Spring
20091215_1781,2009-12-15,17.81,12,Winter
19701007_1772,1970-10-07,17.72,10,Fall
20210916_1768,2021-09-16,17.68,9,Fall
20140329_1765,2014-03-29,17.65,3,Spring
20210205_1762,2021-02-05,17.62,2,Winter
20221130_1755,2022-11-30,17.55,11,Fall
20130225_1748,2013-02-25,17.48,2,Winter
19870228_1744,1987-02-28,17.44,2,Winter
20021004_1737,2002-10-04,17.37,10,Fall
20110905_1737,2011-09-05,17.37,9,Fall
19920217_1716,1992-02-17,17.16,2,Winter
20170605_1714,2017-06-05,17.14,6,Summer
20021225_1702,2002-12-25,17.02,12,Winter
20250508_1701,2025-05-08,17.01,5,Spring
19690818_1684,1969-08-18,16.84,8,Summer
20240109_1655,2024-01-09,16.55,1,Winter
19890323_1653,1989-03-23,16.53,3,Spring
20201029_1642,2020-10-29,16.42,10,Fall
20210712_1635,2021-07-12,16.35,7,Summer
20210619_1632,2021-06-19,16.32,6,Summer
20221215_1627,2022-12-15,16.27,12,Winter
20210721_1623,2021-07-21,16.23,7,Summer
19960415_1608,1996-04-15,16.08,4,Spring
20061231_1604,2006-12-31,16.04,12,Winter
20200104_1598,2020-01-04,15.98,1,Winter
20210425_1587,2021-04-25,15.87,4,Spring
20250408_1568,2025-04-08,15.68,4,Spring
20240128_1560,2024-01-28,15.6,1,Winter
20220406_1558,2022-04-06,15.58,4,Spring
20210505_1554,2021-05-05,15.54,5,Spring
20221127_1539,2022-11-27,15.39,11,Fall
20210512_1527,2021-05-12,15.27,5,Spring
20200608_1526,2020-06-08,15.26,6,Summer
20250510_1517,2025-05-10,15.17,5,Spring
20071023_1512,2007-10-23,15.12,10,Fall
